,String 1,String 2,String 3,String 4,String 5,String 7,String 8,String 9,String 10,String 11
1,2.941325007501114e-08,0.0,0.0,5.882650015002228e-08,5.882650015002228e-08,2.941325007501114e-08,0.0,0.0,0.0,0.0
2,2.941325007501114e-08,5.882650015002228e-08,0.0,0.0,1.4706625037505572e-07,5.882650015002228e-08,0.0,2.941325007501114e-08,0.0,5.882650015002228e-08
3,8.823975022503343e-08,8.823975022503343e-08,0.0,2.941325007501114e-08,4.7061200120017825e-07,1.088290252775412e-06,1.7647950045006687e-07,8.823975022503343e-08,2.941325007501114e-08,5.882650015002228e-08
4,5.882650015002228e-08,2.0589275052507797e-07,8.823975022503343e-08,0.0,7.353312518752786e-07,1.8442107797031986e-05,7.941577520253008e-07,5.882650015002228e-08,5.882650015002228e-08,5.882650015002228e-08
5,8.823975022503343e-08,8.823975022503343e-08,2.941325007501114e-08,2.941325007501114e-08,6.17678251575234e-07,2.176580505550824e-06,3.2648707583262367e-06,5.882650015002228e-08,1.1765300030004456e-07,0.0
6,1.1765300030004456e-07,5.882650015002228e-08,5.882650015002228e-08,0.0,,3.235457508251226e-07,2.9119117574261027e-06,1.4706625037505572e-07,8.823975022503343e-08,1.4706625037505572e-07
7,5.882650015002228e-08,5.882650015002228e-08,2.941325007501114e-08,0.0,,0.0,4.1178550105015594e-07,2.9413250075011143e-07,1.1765300030004456e-07,8.823975022503343e-08
8,0.0,0.0,2.941325007501114e-08,1.1765300030004456e-07,,,1.1765300030004456e-07,4.1178550105015594e-07,1.4706625037505572e-07,5.882650015002228e-08
9,0.0,5.882650015002228e-08,5.882650015002228e-08,8.823975022503343e-08,,,1.1765300030004456e-07,1.1765300030004456e-07,4.7061200120017825e-07,1.1765300030004456e-07
10,,,,5.882650015002228e-08,,,0.0,8.823975022503343e-08,1.7647950045006687e-07,5.882650015002228e-08
11,,,,2.941325007501114e-08,,,,0.0,1.1765300030004456e-07,0.0
12,,,,0.0,,,,5.882650015002228e-08,0.0,0.0
13,,,,,,,,0.0,0.0,2.941325007501114e-08
14,,,,,,,,2.941325007501114e-08,,
